GFLOPs (@1GHz),Utilization,Cycles,Energy,EDP(J*cycle),Area,mac,psum_spad,weights_spad,ifmap_spad,shared_glb,DRAM,Total,Layer Number,Name,Group,Residual Block Number,Mamba Block,Layer Type,C,G,M,N,P,Q,R,S
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,062,layers_12_mixer_x_proj,layers,12.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,063,layers_12_mixer_dt_proj,layers,12.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,064,layers_12_mixer_out_proj,layers,12.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,065,layers_13_mixer_in_proj,layers,13.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,067,layers_13_mixer_x_proj,layers,13.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,068,layers_13_mixer_dt_proj,layers,13.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,069,layers_13_mixer_out_proj,layers,13.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,070,layers_14_mixer_in_proj,layers,14.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
24.00,7.14%,32768,26.46,8.67e-01,0.00,207.69,470.29,1930.72,106.84,50.37,64520.83,67286.75,072,layers_14_mixer_x_proj,layers,14.0,mixer,x_proj,3072,1,128,1,1,1,1,1
23.88,7.14%,24576,19.87,4.88e-01,0.00,207.69,439.12,1930.72,101.35,20.19,64687.50,67386.58,073,layers_14_mixer_dt_proj,layers,14.0,mixer,dt_proj,96,1,3072,1,1,1,1,1
24.00,7.14%,393216,315.30,1.24e+02,0.00,207.69,470.93,1930.72,106.84,41.66,64062.50,66820.35,074,layers_14_mixer_out_proj,layers,14.0,mixer,out_proj,3072,1,1536,1,1,1,1,1
23.99,7.14%,786432,630.58,4.96e+02,0.00,207.69,470.04,1930.72,108.69,49.26,64052.08,66818.49,075,layers_15_mixer_in_proj,layers,15.0,mixer,in_proj,1536,1,6144,1,1,1,1,1
